OID_,CBG,PlusCode,DestinationID,Total_TravelTime,Total_Kilometers
68,470930001001,"WVXP+9V Knoxville, Tennessee",43,19.46841622,21.94301188
69,470930001001,"VVX2+XW Knoxville, Tennessee",36,19.88017204,24.69782199
70,470930001001,"VVX2+XW Knoxville, Tennessee",67,19.88017204,24.69782199
71,470930001001,"VRVH+9W Knoxville, Tennessee",13,19.92990823,26.45371646
72,470930001001,"R324+P3 Maryville, Tennessee",30,20.00623862,23.96568979
73,470930001001,"VW7C+36 Knoxville, Tennessee",8,20.746338,28.63714287
74,470930001001,"VW7C+36 Knoxville, Tennessee",19,20.746338,28.63714287
75,470930001001,"V69V+HH Seymour, Tennessee",50,20.98672374,20.01692534
76,470930001001,"Q3V3+PQ Maryville, Tennessee",38,21.0211464,24.76994581
77,470930001001,"VW6F+6C Knoxville, Tennessee",2,21.11521041,28.82352755
78,470930001001,"VRJV+58 Knoxville, Tennessee",7,21.7012465,26.52757157
79,470930001001,"VRJV+58 Knoxville, Tennessee",20,21.7012465,26.52757157
80,470930001001,"VW6J+V3 Knoxville, Tennessee",5,21.83534448,29.36307325
81,470930001001,"VW6J+V3 Knoxville, Tennessee",9,21.83534448,29.36307325
82,470930001001,"Q2F6+95 Alcoa, Tennessee",15,21.91968838,26.23292439
83,470930001001,"VRJM+8X Farragut, Tennessee",12,22.40028592,27.16535971
84,470930001001,"47MP+W4 Blaine, Tennessee",116,22.47328791,29.17519836
85,470930001001,"WRJ7+H8 Knoxville, Tennessee",58,22.83571323,28.82026108
86,470930001001,"Q2JX+88 Maryville, Tennessee",34,23.05470629,26.44712576
87,470930001001,"VRXX+X7 Knoxville, Tennessee",28,23.14798218,25.53913345
88,470930001001,"VRXX+X7 Knoxville, Tennessee",37,23.14798218,25.53913345
89,470930001001,"Q28G+Q8 Alcoa, Tennessee",31,23.24787981,27.26186806
90,470930001001,"VRFC+WR Knoxville, Tennessee",6,23.56951548,28.4610954
91,470930001001,"Q28H+2W Alcoa, Tennessee",139,23.64556551,27.61658116
92,470930001001,"Q27H+C9 Alcoa, Tennessee",32,23.64877341,27.61952158
93,470930001001,"Q26C+F9 Alcoa, Tennessee",33,23.96756497,27.72564913
94,470930001001,"XC75+G5 Kodak, Tennessee",89,24.69958161,36.79452913
95,470930001001,"P2R4+G7 Maryville, Tennessee",16,25.39011374,29.73223141
96,470930001001,"P2P4+HF Maryville, Tennessee",17,26.25302189,30.67699911
97,470930001001,"5WWH+HH Norris, Tennessee",110,26.53586441,34.35363569
98,470930001001,"Q342+JR Maryville, Tennessee",35,26.95241488,30.22764956
99,470930001001,"3VR6+M3 Clinton, Tennessee",119,27.48381911,29.9477736
100,470930001001,"QVQX+Q4 Louisville, Tennessee",1,28.00875004,31.97750921
101,470930001001,"RP9J+MC Lenoir City, Tennessee",3,28.3833509,40.23011802
102,470930001001,"2Q33+M3 Oak Ridge, Tennessee",79,28.7143498,37.77559706
103,470930001001,"2Q33+M3 Oak Ridge, Tennessee",142,28.7143498,37.77559706
104,470930001001,"4V9M+4Q Clinton, Tennessee",141,29.26136331,36.87897257
105,470930001001,"4C2W+G7 New Market, Tennessee",111,29.73114979,40.17587327
106,470930001001,"RPCP+R5 Lenoir City, Tennessee",21,29.79995092,40.78953766
107,470930001001,"2P5W+GQ Oak Ridge, Tennessee",90,30.02934361,38.61325793
108,470930001001,"RP6P+MW Lenoir City, Tennessee",10,30.15712616,41.54852213
109,470930001001,"2QCC+4X Oak Ridge, Tennessee",80,30.50571479,40.25163788
110,470930001001,"2Q82+QV Oak Ridge, Tennessee",78,30.81207103,40.06051449
111,470930001001,"2Q82+QV Oak Ridge, Tennessee",127,30.81207103,40.06051449
112,470930001001,"2P7J+5R Oak Ridge, Tennessee",85,30.99590233,39.92107712
113,470930001001,"2P7J+5R Oak Ridge, Tennessee",97,30.99590233,39.92107712
114,470930001001,"RP2P+RV Lenoir City, Tennessee",11,31.21383452,42.32639915
115,470930001001,"2H8F+VQ Dandridge, Tennessee",123,31.55207659,50.33444485
116,470930001001,"VCHG+Q5 Sevierville, Tennessee",93,31.56949514,45.20456644
117,470930001001,"VCGG+MM Sevierville, Tennessee",94,32.04379706,45.51629412
118,470930001001,"VCGG+MJ Sevierville, Tennessee",118,32.04379706,45.51629412
119,470930001001,"2QH5+HQ Oak Ridge, Tennessee",105,32.17165401,40.79630222
120,470930001001,"QPXW+J6 Lenoir City, Tennessee",4,32.34120356,44.37563296
121,470930001001,"QPVQ+88 Lenoir City, Tennessee",14,35.01065922,44.70301316
122,470930001001,"QPPH+XM Lenoir City, Tennessee",29,35.16399641,44.81771562
123,470930001001,"4G87+V3 Jefferson City, Tennessee",135,35.67793363,46.27715129
124,470930001001,"4G99+Q5 Jefferson City, Tennessee",132,35.98838659,46.62545202
125,470930001001,"4G98+FH Jefferson City, Tennessee",117,36.06664551,46.70053559
126,470930001001,"7634+6M Maynardville, Tennessee",138,36.52037198,42.21580046
